origin_country,destination_country,flights
Afghanistan,Turkey,272
Afghanistan,Azerbaijan,167
Afghanistan,Romania,34
Afghanistan,Georgia,32
Afghanistan,Germany,11
Afghanistan,Netherlands,10
Afghanistan,Belgium,2
Afghanistan,Latvia,2
Afghanistan,Greece,1
Afghanistan,Bulgaria,1
Afghanistan,Sweden,1
Afghanistan,France,1
Afghanistan,Russia,1
Afghanistan,Luxembourg,1
Afghanistan,Ukraine,1
Afghanistan,Slovakia,1
Albania,Italy,2221
Albania,Turkey,415
Albania,Germany,251
Albania,Greece,245
Albania,Austria,222
Albania,Slovenia,164
Albania,Serbia,150
Albania,United Kingdom,119
Albania,Poland,72
Albania,Belgium,54
Albania,France,40
Albania,Hungary,35
Albania,Netherlands,27
Albania,Ukraine,17
Albania,Czech Republic,13
Albania,Macedonia,7
Albania,Belarus,6
Albania,Slovakia,5
Albania,Bulgaria,5
Albania,Spain,4
Albania,Switzerland,4
Albania,Croatia,3
Albania,Bosnia and Herzegovina,2
Albania,Moldova,2
Albania,Georgia,2
Albania,Romania,1
Albania,Ireland,1
Albania,Egypt,1
Albania,Iceland,1
Albania,Montenegro,1
Albania,Denmark,1
Albania,Portugal,1
Albania,Kazakhstan,1
Albania,Estonia,1
Albania,Saudi Arabia,1
Albania,Malta,1
Albania,Kuwait,1
Algeria,France,6855
Algeria,Spain,1341
Algeria,Turkey,932
Algeria,Saudi Arabia,794
Algeria,Italy,458
Algeria,Morocco,265
Algeria,Germany,247
Algeria,United Kingdom,194
Algeria,Egypt,174
Algeria,United Arab Emirates,174
Algeria,Belgium,167
Algeria,Qatar,124
Algeria,Jordan,105
Algeria,Canada,99
Algeria,Switzerland,97
Algeria,Portugal,81
Algeria,Austria,49
Algeria,China,39
Algeria,Lebanon,35
Algeria,Hungary,33
Algeria,Tunisia,29
Algeria,Netherlands,21
Algeria,Russia,19
Algeria,Syria,10
Algeria,Western Sahara,7
Algeria,Algeria,7
Algeria,Ukraine,6
Algeria,Denmark,4
Algeria,Czech Republic,4
Algeria,Malta,3
Algeria,Luxembourg,3
Algeria,Greece,3
Algeria,Belarus,2
Algeria,Kazakhstan,2
Algeria,Venezuela,2
Algeria,Azerbaijan,2
Algeria,Serbia,2
Algeria,Cape Verde,2
Algeria,Romania,2
Algeria,Mauritania,2
Algeria,Cuba,2
Algeria,Moldova,1
Algeria,Norway,1
Algeria,Bulgaria,1
Algeria,Georgia,1
Algeria,Finland,1
Angola,Portugal,407
Angola,Germany,55
Angola,Netherlands,51
Angola,France,51
Angola,Morocco,46
Angola,United Kingdom,39
Angola,United States,15
Angola,Switzerland,5
Angola,Belgium,3
Angola,Russia,2
Angola,Spain,2
Angola,Italy,1
Angola,Lebanon,1
Anguilla,Luxembourg,1
Anguilla,France,1
Antigua and Barbuda,United Kingdom,174
Antigua and Barbuda,Italy,8
Antigua and Barbuda,Switzerland,4
Antigua and Barbuda,France,2
Antigua and Barbuda,Spain,2
Antigua and Barbuda,Belgium,1
Antigua and Barbuda,Portugal,1
Argentina,Spain,592
Argentina,Italy,208
Argentina,Germany,129
Argentina,United Kingdom,122
Argentina,France,121
Argentina,Netherlands,89
Argentina,Morocco,7
Armenia,Russia,2028
Armenia,Iran,230
Armenia,United Arab Emirates,229
Armenia,Ukraine,193
Armenia,Qatar,122
Armenia,Georgia,106
Armenia,Austria,95
Armenia,Poland,86
Armenia,Turkey,76
Armenia,Lebanon,67
Armenia,France,54
Armenia,Greece,54
Armenia,Kazakhstan,47
Armenia,Egypt,42
Armenia,Iraq,33
Armenia,Belarus,30
Armenia,Israel,24
Armenia,Belgium,11
Armenia,Syria,10
Armenia,Italy,6
Armenia,United Kingdom,3
Armenia,Serbia,3
Armenia,Romania,3
Armenia,Montenegro,3
Armenia,Turkmenistan,3
Armenia,Germany,3
Armenia,Czech Republic,3
Armenia,Bulgaria,3
Armenia,Switzerland,2
Armenia,Cyprus,2
Armenia,Denmark,2
Armenia,Macedonia,1
Armenia,Spain,1
Armenia,Morocco,1
Armenia,Finland,1
Armenia,Tajikistan,1
Armenia,Azerbaijan,1
Aruba,Netherlands,89
Aruba,United Kingdom,15
Aruba,Sweden,5
Austria,Germany,12663
Austria,Austria,4338
Austria,United Kingdom,3170
Austria,Switzerland,2707
Austria,Italy,2555
Austria,France,2254
Austria,Spain,1757
Austria,Netherlands,1601
Austria,Russia,1292
Austria,Turkey,1259
Austria,Greece,1195
Austria,Belgium,1066
Austria,Romania,1010
Austria,Croatia,882
Austria,Ukraine,845
Austria,Poland,825
Austria,Serbia,748
Austria,Bulgaria,739
Austria,Czech Republic,653
Austria,Sweden,607
Austria,Denmark,592
Austria,United States,491
Austria,Israel,467
Austria,Hungary,439
Austria,Egypt,411
Austria,Luxembourg,390
Austria,Norway,326
Austria,Portugal,316
Austria,Slovenia,308
Austria,Iran,288
Austria,Finland,288
Austria,United Arab Emirates,253
Austria,Slovakia,237
Austria,China,233
Austria,Cyprus,231
Austria,Albania,222
Austria,Belarus,217
Austria,Bosnia and Herzegovina,215
Austria,Thailand,214
Austria,Latvia,203
Austria,Macedonia,198
Austria,Moldova,189
Austria,Qatar,184
Austria,Ireland,181
Austria,Montenegro,172
Austria,Malta,154
Austria,Jordan,139
Austria,Estonia,127
Austria,Lithuania,123
Austria,Armenia,96
Austria,Iraq,91
Austria,Hong Kong,77
Austria,Canada,76
Austria,Ethiopia,73
Austria,Tunisia,65
Austria,Taiwan,55
Austria,India,54
Austria,Morocco,54
Austria,South Korea,52
Austria,Georgia,39
Austria,Algeria,33
Austria,Mauritius,21
Austria,Iceland,21
Austria,Kuwait,17
Austria,Maldives,13
Austria,Cuba,13
Austria,Sri Lanka,10
Austria,Kazakhstan,9
Austria,Dominican Republic,6
Austria,Jersey,5
Austria,Guernsey,4
Austria,Saudi Arabia,4
Austria,Lebanon,4
Austria,Seychelles,4
Austria,Azerbaijan,3
Austria,Gibraltar,2
Austria,Afghanistan,2
Austria,Nigeria,2
Austria,Cape Verde,1
Austria,Brazil,1
Austria,Libya,1
Austria,Bahrain,1
Austria,Isle of Man,1
Austria,Niger,1
Austria,Singapore,1
Austria,Malaysia,1
Austria,Central African Republic,1
Austria,Netherlands Antilles,1
Azerbaijan,Azerbaijan,1727
Azerbaijan,Russia,1652
Azerbaijan,Turkey,1314
Azerbaijan,United Arab Emirates,725
Azerbaijan,Kazakhstan,439
Azerbaijan,Georgia,389
Azerbaijan,China,348
Azerbaijan,Iran,333
Azerbaijan,Ukraine,280
Azerbaijan,Iraq,233
Azerbaijan,Qatar,230
Azerbaijan,Germany,222
Azerbaijan,Italy,149
Azerbaijan,Netherlands,143
Azerbaijan,Turkmenistan,126
Azerbaijan,Luxembourg,119
Azerbaijan,United Kingdom,117
Azerbaijan,Afghanistan,113
Azerbaijan,Hong Kong,101
Azerbaijan,United States,95
Azerbaijan,Israel,90
Azerbaijan,Belarus,71
Azerbaijan,France,70
Azerbaijan,Kuwait,70
Azerbaijan,Hungary,49
Azerbaijan,Austria,45
Azerbaijan,Uzbekistan,36
Azerbaijan,Singapore,36
Azerbaijan,Japan,30
Azerbaijan,Saudi Arabia,25
Azerbaijan,South Korea,22
Azerbaijan,Spain,20
Azerbaijan,Malaysia,18
Azerbaijan,Czech Republic,13
Azerbaijan,Latvia,10
Azerbaijan,Serbia,9
Azerbaijan,India,8
Azerbaijan,Slovakia,8
Azerbaijan,Thailand,7
Azerbaijan,Switzerland,6
Azerbaijan,Bulgaria,6
Azerbaijan,Sweden,4
Azerbaijan,Belgium,4
Azerbaijan,Romania,3
Azerbaijan,Croatia,3
Azerbaijan,Sudan,2
Azerbaijan,Vietnam,2
Azerbaijan,Norway,2
Azerbaijan,Pakistan,2
Azerbaijan,Poland,2
Azerbaijan,Kenya,2
Azerbaijan,Algeria,1
Azerbaijan,Greece,1
Azerbaijan,Indonesia,1
Azerbaijan,Malta,1
Azerbaijan,Ireland,1
Azerbaijan,Bahrain,1
Azerbaijan,Cote d'Ivoire,1
Azerbaijan,Nepal,1
Azerbaijan,Estonia,1
Azerbaijan,Bangladesh,1
Azerbaijan,Albania,1
Azerbaijan,Brazil,1
Azerbaijan,Bosnia and Herzegovina,1
Azerbaijan,Lebanon,1
Azerbaijan,Taiwan,1
Bahamas,United Kingdom,71
Bahamas,Switzerland,4
Bahamas,France,2
Bahamas,Spain,2
Bahamas,Italy,1
Bahamas,Sweden,1
Bahamas,Germany,1
Bahrain,Turkey,446
Bahrain,United Kingdom,367
Bahrain,Lebanon,228
Bahrain,Germany,179
Bahrain,France,121
Bahrain,Cyprus,87
Bahrain,Russia,85
Bahrain,Greece,83
Bahrain,Italy,56
Bahrain,Georgia,32
Bahrain,Belgium,19
Bahrain,Belarus,2
Bahrain,Switzerland,1
Bahrain,Ireland,1
Bahrain,Morocco,1
Bahrain,Azerbaijan,1
Bangladesh,Lebanon,2
Barbados,United Kingdom,484
Barbados,Germany,71
Barbados,Netherlands,19
Barbados,Portugal,2
Barbados,France,1
Barbados,Turkmenistan,1
Barbados,Norway,1
Barbados,Luxembourg,1
Barbados,Morocco,1
Barbados,Italy,1
Barbados,Russia,1
Barbados,Ireland,1
Belarus,Ukraine,1494
Belarus,Germany,357
Belarus,Turkey,343
Belarus,Russia,275
Belarus,Lithuania,270
Belarus,Poland,251
Belarus,Austria,232
Belarus,Georgia,185
Belarus,Italy,176
Belarus,Bulgaria,158
Belarus,France,145
Belarus,Latvia,143
Belarus,Czech Republic,128
Belarus,Hungary,123
Belarus,Netherlands,112
Belarus,Greece,99
Belarus,Egypt,90
Belarus,Israel,85
Belarus,Spain,82
Belarus,Azerbaijan,73
Belarus,Sweden,72
Belarus,United Kingdom,71
Belarus,Montenegro,68
Belarus,Switzerland,65
Belarus,United Arab Emirates,53
Belarus,Finland,50
Belarus,Cyprus,46
Belarus,Belgium,39
Belarus,Armenia,28
Belarus,Iraq,26
Belarus,Iran,25
Belarus,Serbia,14
Belarus,Lebanon,12
Belarus,Albania,6
Belarus,Turkmenistan,5
Belarus,Denmark,3
Belarus,Estonia,3
Belarus,Slovakia,3
Belarus,Sudan,2
Belarus,Algeria,2
Belarus,Romania,2
Belarus,Moldova,2
Belarus,Macedonia,1
Belarus,Croatia,1
Belarus,Iceland,1
Belarus,Slovenia,1
Belarus,Ireland,1
Belarus,Saudi Arabia,1
Belarus,Uganda,1
Belarus,Luxembourg,1
Belarus,Qatar,1
Belarus,Kazakhstan,1
Belgium,Spain,7128
Belgium,Italy,5021
Belgium,Germany,4943
Belgium,France,4876
Belgium,United Kingdom,4257
Belgium,Switzerland,1696
Belgium,Portugal,1655
Belgium,Morocco,1544
Belgium,Denmark,1426
Belgium,Sweden,1322
Belgium,Poland,1322
Belgium,Turkey,1264
Belgium,Greece,1219
Belgium,United States,1149
Belgium,Austria,1007
Belgium,Romania,856
Belgium,Czech Republic,807
Belgium,Hungary,734
Belgium,Netherlands,728
Belgium,Ireland,687
Belgium,Norway,593
Belgium,United Arab Emirates,559
Belgium,Israel,530
Belgium,Finland,529
Belgium,Russia,427
Belgium,Croatia,400
Belgium,Qatar,400
Belgium,Belgium,398
Belgium,Bulgaria,392
Belgium,China,334
Belgium,Egypt,311
Belgium,Malta,297
Belgium,Latvia,270
Belgium,Slovenia,267
Belgium,Iceland,237
Belgium,Tunisia,229
Belgium,Canada,220
Belgium,Estonia,185
Belgium,Ukraine,165
Belgium,Algeria,162
Belgium,Lithuania,137
Belgium,Nigeria,130
Belgium,Cyprus,129
Belgium,Cameroon,123
Belgium,Japan,122
Belgium,Senegal,122
Belgium,Serbia,116
Belgium,India,105
Belgium,Ghana,97
Belgium,Dominican Republic,84
Belgium,Hong Kong,80
Belgium,Slovakia,77
Belgium,Thailand,68
Belgium,Uganda,65
Belgium,Montenegro,65
Belgium,Lebanon,64
Belgium,Mexico,62
Belgium,Albania,60
Belgium,Sierra Leone,60
Belgium,Cote d'Ivoire,55
Belgium,Congo (Kinshasa),54
Belgium,Cape Verde,53
Belgium,Angola,53
Belgium,Burkina Faso,52
Belgium,Macedonia,52
Belgium,South Korea,49
Belgium,Ethiopia,41
Belgium,Belarus,41
Belgium,Luxembourg,40
Belgium,Moldova,40
Belgium,Saudi Arabia,40
Belgium,Rwanda,38
Belgium,South Africa,35
Belgium,Cuba,34
Belgium,Gambia,20
Belgium,Bosnia and Herzegovina,19
Belgium,Burundi,17
Belgium,Gabon,15
Belgium,Niger,15
Belgium,Singapore,14
Belgium,Liberia,14
Belgium,Armenia,11
Belgium,Iran,11
Belgium,Kuwait,9
Belgium,Jordan,9
Belgium,Guernsey,9
Belgium,Turkmenistan,9
Belgium,Central African Republic,9
Belgium,Libya,7
Belgium,Jersey,5
Belgium,Isle of Man,5
Belgium,Kenya,4
Belgium,Congo (Brazzaville),4
Belgium,Sudan,4
Belgium,Togo,3
Belgium,Azerbaijan,3
Belgium,Afghanistan,2
Belgium,Jamaica,2
Belgium,Guinea,2
Belgium,Bahrain,2
Belgium,Tanzania,2
Belgium,Venezuela,2
Belgium,Djibouti,2
Belgium,Mali,2
Belgium,Benin,1
Belgium,British Virgin Islands,1
Belgium,Equatorial Guinea,1
Belgium,Guadeloupe,1
Belgium,Vietnam,1
Belgium,Mauritania,1
Belgium,Iraq,1
Belgium,Bermuda,1
Belgium,Puerto Rico,1
Belgium,Georgia,1
Belgium,Brazil,1
Belgium,Kazakhstan,1
Belgium,Namibia,1
Belgium,Pakistan,1
Benin,France,82
Benin,Morocco,48
Benin,Russia,1
Benin,Belgium,1
Benin,Turkey,1
Benin,Bulgaria,1
Bermuda,United Kingdom,115
Bermuda,Switzerland,6
Bermuda,Spain,6
Bermuda,Senegal,4
Bermuda,Portugal,3
Bermuda,France,3
Bermuda,Italy,2
Bermuda,Ireland,2
Bermuda,Cape Verde,1
Bermuda,Denmark,1
Bermuda,Sweden,1
Bermuda,Belgium,1
Bermuda,Jersey,1
Bolivia,Spain,134
Bolivia,Ireland,1
Bosnia and Herzegovina,Germany,446
Bosnia and Herzegovina,Turkey,428
Bosnia and Herzegovina,Croatia,215
Bosnia and Herzegovina,Austria,213
Bosnia and Herzegovina,Sweden,202
Bosnia and Herzegovina,Slovenia,197
Bosnia and Herzegovina,Serbia,194
Bosnia and Herzegovina,Italy,171
Bosnia and Herzegovina,United Arab Emirates,132
Bosnia and Herzegovina,France,63
Bosnia and Herzegovina,Netherlands,39
Bosnia and Herzegovina,Denmark,36
Bosnia and Herzegovina,Switzerland,34
Bosnia and Herzegovina,Saudi Arabia,28
Bosnia and Herzegovina,Slovakia,26
Bosnia and Herzegovina,Hungary,26
Bosnia and Herzegovina,United Kingdom,23
Bosnia and Herzegovina,Belgium,21
Bosnia and Herzegovina,Qatar,18
Bosnia and Herzegovina,Kuwait,16
Bosnia and Herzegovina,Montenegro,14
Bosnia and Herzegovina,Lebanon,13
Bosnia and Herzegovina,Norway,12
Bosnia and Herzegovina,Greece,7
Bosnia and Herzegovina,Bosnia and Herzegovina,4
Bosnia and Herzegovina,Albania,4
Bosnia and Herzegovina,Russia,4
Bosnia and Herzegovina,Macedonia,3
Bosnia and Herzegovina,Spain,2
Bosnia and Herzegovina,Poland,2
Bosnia and Herzegovina,Romania,1
Bosnia and Herzegovina,Israel,1
Bosnia and Herzegovina,Czech Republic,1
Bosnia and Herzegovina,Azerbaijan,1
Botswana,Russia,1
Botswana,United Kingdom,1
Brazil,Portugal,1295
Brazil,Spain,653
Brazil,France,468
Brazil,Germany,410
Brazil,Italy,356
Brazil,United Kingdom,333
Brazil,Netherlands,226
Brazil,Switzerland,159
Brazil,Turkey,104
Brazil,Morocco,90
Brazil,Qatar,80
Brazil,Luxembourg,34
Brazil,Poland,3
Brazil,Belgium,2
Brazil,Greece,1
Brazil,Norway,1
Brazil,Russia,1
Bulgaria,Germany,2655
Bulgaria,United Kingdom,1969
Bulgaria,Russia,1299
Bulgaria,Bulgaria,1138
Bulgaria,Italy,931
Bulgaria,Poland,855
Bulgaria,Austria,740
Bulgaria,Spain,530
Bulgaria,Czech Republic,485
Bulgaria,Israel,481
Bulgaria,Turkey,477
Bulgaria,Greece,427
Bulgaria,Netherlands,413
Bulgaria,France,383
Bulgaria,Belgium,381
Bulgaria,Romania,358
Bulgaria,Serbia,239
Bulgaria,Ukraine,203
Bulgaria,Belarus,152
Bulgaria,Switzerland,140
Bulgaria,Cyprus,129
Bulgaria,Denmark,126
Bulgaria,Qatar,123
Bulgaria,Slovakia,122
Bulgaria,Ireland,106
Bulgaria,Norway,101
Bulgaria,Sweden,90
Bulgaria,Hungary,89
Bulgaria,United Arab Emirates,78
Bulgaria,Finland,52
Bulgaria,Malta,49
Bulgaria,Estonia,43
Bulgaria,Iran,41
Bulgaria,Lithuania,41
Bulgaria,Luxembourg,34
Bulgaria,Latvia,33
Bulgaria,Iraq,32
Bulgaria,Croatia,24
Bulgaria,Portugal,23
Bulgaria,Macedonia,21
Bulgaria,Egypt,15
Bulgaria,Afghanistan,15
Bulgaria,Lebanon,14
Bulgaria,Kuwait,9
Bulgaria,Montenegro,8
Bulgaria,Georgia,7
Bulgaria,Azerbaijan,7
Bulgaria,Saudi Arabia,6
Bulgaria,Armenia,5
Bulgaria,Iceland,4
Bulgaria,Turkmenistan,4
Bulgaria,Slovenia,3
Bulgaria,Morocco,3
Bulgaria,India,3
Bulgaria,Kazakhstan,3
Bulgaria,Uzbekistan,3
Bulgaria,Albania,3
Bulgaria,Moldova,2
Bulgaria,United States,2
Bulgaria,Tunisia,2
Bulgaria,Maldives,2
Bulgaria,Jordan,1
Bulgaria,Thailand,1
Bulgaria,Jersey,1
Bulgaria,Congo (Brazzaville),1
Bulgaria,Singapore,1
Bulgaria,Sudan,1
Bulgaria,Benin,1
Burkina Faso,Morocco,91
Burkina Faso,Turkey,77
Burkina Faso,France,76
Burkina Faso,Belgium,53
Burkina Faso,Italy,5
Burkina Faso,United Kingdom,2
Burkina Faso,Germany,2
Burkina Faso,Luxembourg,2
Burkina Faso,Portugal,1
Burkina Faso,Ukraine,1
Cameroon,France,201
Cameroon,Belgium,116
Cameroon,Turkey,91
Cameroon,Morocco,83
Cameroon,Italy,4
Cameroon,Germany,2
Cameroon,Switzerland,2
Cameroon,Spain,2
Cameroon,Netherlands,1
Cameroon,Egypt,1
Cameroon,United Kingdom,1
Cameroon,Georgia,1
Cameroon,Sweden,1
Canada,United Kingdom,2641
Canada,Germany,1420
Canada,France,1288
Canada,Netherlands,797
Canada,Italy,490
Canada,Ireland,358
Canada,Switzerland,353
Canada,Spain,324
Canada,Portugal,323
Canada,Belgium,233
Canada,Israel,192
Canada,Morocco,176
Canada,India,175
Canada,Poland,160
Canada,Turkey,158
Canada,United Arab Emirates,158
Canada,Greece,139
Canada,Algeria,98
Canada,Denmark,97
Canada,China,88
Canada,Austria,79
Canada,Saudi Arabia,71
Canada,Pakistan,69
Canada,Egypt,62
Canada,Ethiopia,60
Canada,Qatar,55
Canada,Luxembourg,50
Canada,Hungary,43
Canada,Czech Republic,43
Canada,Jordan,36
Canada,Tunisia,33
Canada,Hong Kong,31
Canada,Croatia,11
Canada,Russia,5
Canada,Canada,3
Canada,Sweden,2
Canada,Norway,2
Canada,Latvia,1
Canada,Finland,1
Canada,Isle of Man,1
Canada,Malta,1
Canada,Belarus,1
Canada,Iceland,1
Cape Verde,Portugal,560
Cape Verde,United Kingdom,322
Cape Verde,Spain,159
Cape Verde,Germany,116
Cape Verde,Netherlands,115
Cape Verde,Italy,92
Cape Verde,France,83
Cape Verde,Belgium,70
Cape Verde,Morocco,53
Cape Verde,Czech Republic,36
Cape Verde,Sweden,20
Cape Verde,Slovakia,14
Cape Verde,Luxembourg,10
Cape Verde,United States,10
Cape Verde,Denmark,8
Cape Verde,Finland,4
Cape Verde,Russia,3
Cape Verde,Venezuela,2
Cape Verde,Poland,2
Cape Verde,Cuba,1
Cayman Islands,United Kingdom,3
Cayman Islands,Greece,2
Cayman Islands,Italy,1
Central African Republic,Morocco,53
Central African Republic,France,3
Central African Republic,Portugal,1
Central African Republic,Russia,1
Central African Republic,Belgium,1
Chad,France,57
Chad,Morocco,42
Chad,Turkey,33
Chad,United Kingdom,3
Chad,Germany,2
Chad,Belgium,2
Chad,Malta,1
Chad,Russia,1
Chad,Portugal,1
Chile,Spain,313
Chile,France,120
Chile,Italy,87
Chile,United Kingdom,70
Chile,French Guiana,1
Chile,Portugal,1
China,Germany,2233
China,France,1359
China,Netherlands,1341
China,United Kingdom,1144
China,Italy,701
China,Turkey,369
China,Finland,342
China,Switzerland,320
China,Denmark,291
China,Azerbaijan,262
China,Spain,259
China,Belgium,244
China,Austria,234
China,Czech Republic,152
China,Israel,141
China,Poland,111
China,Sweden,104
China,Ukraine,103
China,Egypt,96
China,Georgia,44
China,Algeria,40
China,Portugal,27
China,Greece,10
China,Hungary,1
China,Iraq,1
Colombia,Spain,871
Colombia,United Kingdom,118
Colombia,Germany,116
Colombia,France,87
Colombia,Netherlands,52
Colombia,Portugal,3
Colombia,Italy,1
Colombia,United Arab Emirates,1
Colombia,Switzerland,1
Congo (Brazzaville),France,161
Congo (Brazzaville),Morocco,68
Congo (Brazzaville),Italy,2
Congo (Brazzaville),Luxembourg,1
Congo (Brazzaville),Switzerland,1
Congo (Brazzaville),Belgium,1
Congo (Brazzaville),United Kingdom,1
Congo (Brazzaville),Turkey,1
Congo (Brazzaville),Germany,1
Congo (Brazzaville),Bulgaria,1
Congo (Brazzaville),Spain,1
Congo (Kinshasa),Belgium,97
Congo (Kinshasa),France,72
Congo (Kinshasa),Morocco,55
Congo (Kinshasa),Turkey,3
Congo (Kinshasa),Germany,1
Congo (Kinshasa),Gibraltar,1
Congo (Kinshasa),Luxembourg,1
Congo (Kinshasa),Italy,1
Costa Rica,Spain,121
Costa Rica,United Kingdom,58
Costa Rica,Switzerland,27
Costa Rica,France,21
Costa Rica,Netherlands,9
Costa Rica,Panama,1
Cote d'Ivoire,France,226
Cote d'Ivoire,Morocco,168
Cote d'Ivoire,Turkey,88
Cote d'Ivoire,Belgium,53
Cote d'Ivoire,Portugal,41
Cote d'Ivoire,Lebanon,6
Cote d'Ivoire,United Kingdom,3
Cote d'Ivoire,Germany,3
Cote d'Ivoire,Spain,2
Cote d'Ivoire,Russia,1
Cote d'Ivoire,Netherlands,1
Croatia,Croatia,3196
Croatia,Germany,2972
Croatia,United Kingdom,1874
Croatia,France,900
Croatia,Austria,886
Croatia,Italy,703
Croatia,Switzerland,545
Croatia,Sweden,467
Croatia,Netherlands,429
Croatia,Belgium,396
Croatia,Serbia,351
Croatia,Turkey,326
Croatia,Norway,313
Croatia,Spain,311
Croatia,Denmark,275
Croatia,Russia,262
Croatia,Poland,258
Croatia,Czech Republic,246
Croatia,Bosnia and Herzegovina,221
Croatia,Qatar,216
Croatia,Finland,206
Croatia,Ireland,153
Croatia,Greece,141
Croatia,Macedonia,125
Croatia,United Arab Emirates,84
Croatia,Slovakia,70
Croatia,Israel,59
Croatia,Portugal,53
Croatia,Romania,36
Croatia,Latvia,33
Croatia,Slovenia,30
Croatia,Estonia,28
Croatia,Ukraine,24
Croatia,Bulgaria,21
Croatia,Hungary,19
Croatia,Montenegro,19
Croatia,Luxembourg,18
Croatia,Malta,11
Croatia,Canada,10
Croatia,South Korea,7
Croatia,Lebanon,4
Croatia,Azerbaijan,3
Croatia,Belarus,2
Croatia,Albania,2
Croatia,Cyprus,2
Croatia,Egypt,2
Croatia,Iceland,2
Croatia,China,1
Croatia,Kuwait,1
Croatia,Guernsey,1
Croatia,Morocco,1
Croatia,United States,1
Croatia,Lithuania,1
Croatia,Moldova,1
Cuba,Spain,322
Cuba,Germany,321
Cuba,France,278
Cuba,Italy,175
Cuba,Russia,172
Cuba,United Kingdom,163
Cuba,Netherlands,118
Cuba,Switzerland,34
Cuba,Poland,33
Cuba,Finland,13
Cuba,Austria,13
Cuba,Portugal,12
Cuba,Sweden,6
Cuba,Equatorial Guinea,1
Cuba,Morocco,1
Cyprus,United Kingdom,2873
Cyprus,Greece,2126
Cyprus,Russia,1611
Cyprus,Israel,1217
Cyprus,Germany,511
Cyprus,Lebanon,340
Cyprus,Romania,319
Cyprus,Poland,252
Cyprus,Austria,227
Cyprus,Qatar,217
Cyprus,Sweden,200
Cyprus,Ukraine,189
Cyprus,France,165
Cyprus,Switzerland,141
Cyprus,United Arab Emirates,136
Cyprus,Italy,135
Cyprus,Egypt,132
Cyprus,Jordan,130
Cyprus,Bulgaria,129
Cyprus,Malta,123
Cyprus,Serbia,118
Cyprus,Norway,99
Cyprus,Belgium,94
Cyprus,Bahrain,85
Cyprus,Netherlands,82
Cyprus,Denmark,71
Cyprus,Hungary,62
Cyprus,Lithuania,56
Cyprus,Spain,48
Cyprus,Belarus,46
Cyprus,Finland,34
Cyprus,Moldova,30
Cyprus,Cyprus,30
Cyprus,Georgia,29
Cyprus,Ireland,28
Cyprus,Czech Republic,26
Cyprus,Latvia,24
Cyprus,Slovakia,21
Cyprus,Iran,18
Cyprus,Saudi Arabia,16
Cyprus,Oman,13
Cyprus,Kenya,10
Cyprus,Montenegro,6
Cyprus,Iraq,4
Cyprus,Kuwait,4
Cyprus,Estonia,4
Cyprus,Luxembourg,3
Cyprus,Djibouti,3
Cyprus,Armenia,3
Cyprus,Croatia,3
Cyprus,Nigeria,2
Cyprus,India,2
Cyprus,Tunisia,1
Cyprus,Azerbaijan,1
Cyprus,Mauritius,1
Cyprus,Jersey,1
Cyprus,Portugal,1
Cyprus,Canada,1
Cyprus,Slovenia,1
Czech Republic,Germany,3113
Czech Republic,United Kingdom,2490
Czech Republic,Italy,2000
Czech Republic,Russia,1693
Czech Republic,France,1688
Czech Republic,Spain,1255
Czech Republic,Greece,1160
Czech Republic,Netherlands,1123
Czech Republic,Belgium,851
Czech Republic,Poland,849
Czech Republic,Turkey,745
Czech Republic,Czech Republic,676
Czech Republic,Austria,650
Czech Republic,Switzerland,560
Czech Republic,Slovakia,503
Czech Republic,Bulgaria,481
Czech Republic,Hungary,474
Czech Republic,Israel,452
Czech Republic,Sweden,437
Czech Republic,Denmark,416
Czech Republic,Finland,407
Czech Republic,Egypt,392
Czech Republic,Ukraine,380
Czech Republic,United Arab Emirates,304
Czech Republic,Romania,301
Czech Republic,Portugal,271
Czech Republic,Norway,255
Czech Republic,Croatia,239
Czech Republic,Ireland,217
Czech Republic,Serbia,201
Czech Republic,Tunisia,199
Czech Republic,Latvia,180
Czech Republic,China,152
Czech Republic,South Korea,129
Czech Republic,Qatar,127
Czech Republic,Belarus,124
Czech Republic,Luxembourg,81
Czech Republic,United States,64
Czech Republic,Slovenia,54
Czech Republic,Iceland,52
Czech Republic,Malta,46
Czech Republic,Canada,42
Czech Republic,Cape Verde,34
Czech Republic,Cyprus,31
Czech Republic,Georgia,30
Czech Republic,Lebanon,29
Czech Republic,Montenegro,29
Czech Republic,Morocco,21
Czech Republic,Turkmenistan,18
Czech Republic,Macedonia,15
Czech Republic,Azerbaijan,14
Czech Republic,Iran,12
Czech Republic,Albania,12
Czech Republic,Saudi Arabia,5
Czech Republic,Algeria,5
Czech Republic,Maldives,4
Czech Republic,Estonia,4
Czech Republic,Kazakhstan,4
Czech Republic,Lithuania,4
Czech Republic,Uzbekistan,3
Czech Republic,Kuwait,2
Czech Republic,Oman,2
Czech Republic,Moldova,2
Czech Republic,Jersey,2
Czech Republic,Nigeria,1
Czech Republic,India,1
Czech Republic,Hong Kong,1
Czech Republic,Greenland,1
Czech Republic,Puerto Rico,1
Czech Republic,Chad,1
Czech Republic,Guernsey,1
Czech Republic,Costa Rica,1
Czech Republic,Bahrain,1
Czech Republic,Pakistan,1
Czech Republic,Armenia,1
Denmark,Denmark,10745
Denmark,Germany,5612
Denmark,Norway,5410
Denmark,United Kingdom,5159
